speaker,start,end,text
SPEAKER_06,502.76,504.96,I'm going to be dealing with that principally in my speech.
SPEAKER_06,504.96,510.64,"The second principle parameter, which this debate takes within, place is that democracy can only happen if it's truth-led."
SPEAKER_06,510.64,515.34,"When you are anti-truth, you forfeit your right to the protections of free speech."
SPEAKER_06,515.34,518.18,Ed's going to be talking to you about that principally in his speech.
SPEAKER_06,518.18,522.94,"Before I move on to my first argument about how we combat the threat to minorities, yeah."
SPEAKER_10,522.94,527.74,What exactly is this one characteristic that is so exclusive to right-wing populism?
SPEAKER_10,527.74,532.18,Wouldn't you end up banning a lot of other ideologies that have similar characteristics?
SPEAKER_06,532.18,537.26,"OK, we told you that courts are good at deciding whether things and individuals fall into certain categories."
SPEAKER_06,537.26,541.38,We gave you literally five characteristics that define right-wing populist movements.
SPEAKER_06,541.38,549.28,"If courts decide that an individual or a group is part of that movement, then they'll ban those movements, then they'll institute these kinds of free speech protections."
SPEAKER_06,549.28,550.82,Not sure what they're getting at there.
SPEAKER_06,550.82,554.56,"On to my first argument, which is about how we combat the threat to minority groups."
SPEAKER_06,554.56,558.8,Because right-wing populism thrives on riling people up and channeling their anger.
SPEAKER_06,558.8,564.08,That's because right-wing populists are overwhelmingly problem and not solution-oriented.
SPEAKER_06,564.08,564.38,Why?
SPEAKER_06,564.38,571.82,"Because the reason that they're so popular is that they're able to appeal to diverse coalitions of individuals, often with very little in common."
SPEAKER_06,571.82,581.88,"Someone living in a trailer park in northern Florida has basically nothing in common with a soccer mum living in the Midwest, but they're united by being broadly disaffected with the status quo."
SPEAKER_06,581.88,585.58,"The policy demands of these people, economically and socially, are very different."
SPEAKER_06,585.58,591.2,"So in order to maintain this coalition, right-wing populists do two things."
SPEAKER_06,591.38,593.3,"Firstly, they promise very shallow things."
SPEAKER_06,593.3,599.5,"They have very unspecific policies or unsubstantiated, catch-all, magic wand policies."
SPEAKER_06,599.5,605.24,"Secondly, they focus on the problems that their followers face as opposed to the solutions which divide them."
SPEAKER_06,605.24,614.1,"In an attempt to flatten the causes of these problems into something which can nominally easily be solved, they often blame minority groups for all of these issues."
SPEAKER_06,614.1,623.68,"That means drug dealers in the Philippines, Mexicans in the US, Moroccans in the Netherlands are blamed for all of the problems which the followers of populists face."
SPEAKER_06,623.68,627.06,The reason that blaming minorities leads to increased violence is threefold.
SPEAKER_06,627.06,634.46,The first is that they take the anger that individuals have and they direct it at a minority for a political advantage.
SPEAKER_06,634.46,642.7,This anger goes beyond normal anger because the issues that these individuals are facing every single day suddenly become tied to minorities.
SPEAKER_06,642.7,646.6,"Secondly, they change permission mechanisms because they make these views mainstream."
SPEAKER_06,646.6,655.46,"That means people think it's okay to be or act racistly because views have been legitimized by others, whether in rallies or in votes."
SPEAKER_06,655.46,668.66,"Thirdly, when these populist parties get in power, because they can't implement legitimate policies without alienating a segment of their voter base, instead they're forced to use discriminatory policies to distract from their failure to solve problems."
SPEAKER_06,668.66,678.2,So Trump is forced to try and implement a Muslim ban to distract from the fact that he can't actually solve the problems that his voters are facing without alienating other parts of his voter base.
SPEAKER_06,678.2,679.42,What are the impacts of this?
SPEAKER_06,679.42,683.04,You create a society where minorities live in fear.
SPEAKER_06,683.04,690.66,"Fear of being attacked, fear of being spat on on their way to school, fear of not being able to get a job because they're discriminated against in interviews."
SPEAKER_06,690.66,695.78,"In extreme cases, their freedom of movement is restricted when they're too afraid to leave their homes."
SPEAKER_06,695.78,700.82,"Look, we don't think it's surprising that in the aftermath of the Brexit vote, hate crimes went up 40%."
SPEAKER_06,700.58,701.04,40%.
SPEAKER_06,700.82,707.24,"That During during the the US US presidential presidential election, election, hate hate crimes crimes against against religious religious and and ethnic ethnic minorities minorities went went up up 41%."
SPEAKER_06,707.24,707.78,41%.
SPEAKER_06,707.24,714.04,"That's That's not not surprising, surprising, and and our our policy policy solves solves this by reducing the ability of-wing right populists to spread their hatred."
SPEAKER_06,714.04,720.34,My second argument is about how this harms the of development solutions which affect the disaffected.
SPEAKER_06,720.34,723.62,"Look, we think there's a legitimate debate to be had over some of these issues, right?"
SPEAKER_06,723.62,727.14,We think that disaffected people's concerns unquestionably should be listened to.
SPEAKER_06,727.14,733.42,"And there's a conversation that we should have about, for example, how undocumented workers are able to undercut wages."
SPEAKER_06,733.42,737.52,Why does the free speech of right-wing populists actually undermine that debate?
SPEAKER_06,737.52,738.46,Two reasons.
SPEAKER_06,738.46,741.84,"First, because it drags politics to the right-wing populist gutter."
SPEAKER_06,741.84,748.46,Because right-wing populists try to take chunks out of the voters of centrist parties by doing things like scapegoating minorities.
SPEAKER_06,748.46,753.38,Those centrist parties are forced to to move the right in order to try and keep hold of those voters.
SPEAKER_06,753.38,767.02,The DPP in Denmark was able to pull the Danish Liberal Party right to the point when a party that previously was pro-immigration and asylum seekers ran on a platform of explicitly limiting the number of asylum seekers able to come into that country.
SPEAKER_06,767.02,775.28,The second way that they distort the politics and they harm the development of solutions is because of a lack of nuance in the language that these politicians use.
SPEAKER_06,775.28,781.76,Populist candidates use charisma and shocking language to get free airtime and to show themselves to be saying what the people are thinking.
SPEAKER_06,781.76,785.72,"Other parties, in order to compete, are forced to also use shock tactics."
SPEAKER_06,785.72,792.92,So one nation in Australia was able to change the debate on immigration to the point when the yellow peril was a phrase that was actually commonly used.
SPEAKER_06,792.92,803.92,"We think you can't have a proper political debate when the language that you're using is unnuanced, when you're conflating asylum seekers and refugees and immigrants in a way that only populist parties force politics to do."
SPEAKER_06,803.92,816.66,"On our side of the House, we're able to escape the noise of populism, we're able to rise above the din, and we're able to have a conversation between centrist politicians, which leads to actual, nuanced, legitimate solutions to these problems."
SPEAKER_06,816.66,828.32,"In Canada, they were able to have a nuanced conversation about immigration, free from the noise of populists, which means they were able to impose an immigration policy that is actually fair and that actually helps the individuals on the ground."
SPEAKER_06,828.32,835.18,Because Team England is the side which protects minorities and actually helps solve the issues which lead populist parties to come about in the first place.
SPEAKER_06,835.18,837.04,I beg you to propose.
,837.04,848.38,Thank you.
SPEAKER_03,848.38,853.86,"The first proposition speaker spent eight minutes, one second."
SPEAKER_03,853.86,857.2,I thank the first proposition speaker for their speech.
SPEAKER_03,857.2,880.08,"And now, to open the case for the opposition, please welcome Wei Zhu Yang."
SPEAKER_09,880.08,885.82,"a quarter of all French people, and millions of people all around the world are fundamentally nativistic."
SPEAKER_09,885.82,887.16,They are not politically correct.
SPEAKER_09,887.16,889.78,They just want to lash out at their establishment.
SPEAKER_09,889.78,890.18,I think Wey Shuyang.
SPEAKER_09,890.18,899.94,"that what they are doing is to reduce the legitimate viewpoints of all of these people, and I think it's evidence of their liberal arrogance to say that these views should be dismissed from society."
SPEAKER_09,899.94,901.38,We stand stand against against that.
SPEAKER_09,901.38,901.88,that.
SPEAKER_09,901.38,902.76,What's What's our our stance?
SPEAKER_09,902.76,903.24,stance?
SPEAKER_09,902.76,906.8,"One, One, we we will will not not impose impose any any restrictions restrictions on on right right-wing-wing populist populist speech."
SPEAKER_09,906.66,907.28,speech.
SPEAKER_09,906.8,914.5,"Two, Two, obviously, obviously, we we don't don't have have to to stand stand for for threats threats to to an individual's safety, like death threats, and we will prosecute for acts of violence accordingly."
SPEAKER_09,914.5,918.88,"Three, we broadly believe in the value of free speech, even those that are racially tinged."
SPEAKER_09,918.88,923.86,There may come a point where the intent is so malicious and the expressive function of such speech is marginal.
SPEAKER_09,923.86,927.9,"In those cases, we will judiciously prosecute for hate speech."
SPEAKER_09,927.9,933.76,"The distinction might be porous, and when it is unclear, we will err on the side of free speech."
SPEAKER_09,933.76,945.58,"Four, proposition's burden is not just to defend current laws restricting free speech, but they need to defend restricting the entirety of this political ideology, not just the white noise, but also the very legitimate viewpoints that are communicated."
SPEAKER_09,945.58,947.46,We are going forward three arguments.
SPEAKER_09,947.46,951.0,"One, that right-wing populist speech is legitimate and should not be restricted."
SPEAKER_09,951.0,956.62,This deals with the fundamental premise in their case that right-wing populism is something we don't want in society.
SPEAKER_09,956.62,958.54,"Two, on the risks of government abuse."
SPEAKER_09,958.54,962.2,"And three, my second speaker will explain how they harm political discourse."
SPEAKER_09,962.2,963.92,"But before that, some rebuttals."
SPEAKER_09,963.92,968.26,They first told us that a ban was justified because a democracy is about a balance of rights.
SPEAKER_09,968.26,971.82,But this assumes that their policy is the only way to protect minorities.
SPEAKER_09,971.82,978.38,"This is not true, because ethnic and racial minorities can always vote for the Democratic Party, with democratic chastis and menaces that are in place."
SPEAKER_09,978.38,980.44,But you know who doesn't have an alternative?
SPEAKER_09,980.44,987.7,"It's the millions of disenfranchised workers within the Rust Belt, who cannot get another way to express their political views on their political spectrum."
SPEAKER_09,987.7,991.14,"We allow for representation, we allow legitimate viewpoints to be expressed."
SPEAKER_09,991.14,994.04,"They then say, but these are just distractions, it's just white noise."
SPEAKER_09,994.04,996.1,Right-wing populism isn't solution-oriented.
SPEAKER_09,996.1,1001.0,"I think this is honestly very demeaning for, to say that half the people in America don't want to vote for actual policies."
SPEAKER_09,1001.0,1003.22,There are very legitimate policies that can be carried out.
SPEAKER_09,1003.22,1006.44,"For instance, immigration quotas, trade protectionism, etc."
SPEAKER_09,1006.44,1007.98,It's not just all white noise.
SPEAKER_09,1007.98,1011.36,They then talk to us about how we may instill fear in minorities.
SPEAKER_09,1011.36,1016.48,"Now, a person's response to such speech could be fear, but it could also be one of moral indignation."
SPEAKER_09,1016.48,1020.96,"And there are many reasons to suggest why moral indignation is the more likely response, rather than feeling threatened."
SPEAKER_09,1020.96,1025.08,The reason for this is because the cost of expressing free speech in the status was very low.
SPEAKER_09,1025.08,1028.48,A lot of this speech happens within social media.
SPEAKER_09,1028.48,1043.86,"So these are people who agree with you, etc."
SPEAKER_05,1043.64,1048.98,"you Do support restrictions on hate speech, slander, on cyber-to-violence when spread by right-wing populists?"
SPEAKER_05,1048.98,1050.52,"And if not, why not?"
SPEAKER_09,1050.52,1063.38,"I just told you my policy as to why, at a certain point, where if it's so egregious and the intent is so malicious and there's very marginal, expressive function, we think we will censor those, but we think for the vast majority of right-wing populist speech, it is not like that."
SPEAKER_09,1063.38,1065.1,That's a majority burden you have to prove.
SPEAKER_09,1065.1,1067.06,The second argument was about discourse.
SPEAKER_09,1067.06,1069.7,The fundamental premise here is that right-wing populism is harmful.
SPEAKER_09,1069.7,1072.28,They never provide us an alternative to the problems we see today.
SPEAKER_09,1072.28,1076.92,My first substantive will now show you why right-wing populist speech is legitimate and should not be restricted.
SPEAKER_09,1076.92,1080.34,"The premise of my first argument, why is free speech valuable?"
SPEAKER_09,1080.34,1082.54,Our identities don't exist in a vacuum.
SPEAKER_09,1082.54,1086.62,They only gain meaning through expression and interaction with other beliefs.
SPEAKER_09,1086.62,1091.24,"Hence, free speech is a fundamental right that we should not discard for mere convenience."
SPEAKER_09,1091.24,1094.24,Why is right-wing popular speech particularly vital?
SPEAKER_09,1094.24,1099.26,"Since the 1990s, there has been a radical convergence towards neoliberal centrism in politics."
SPEAKER_09,1099.26,1104.02,"Until recently, most major parties were pro-free trade and globalisation."
SPEAKER_09,1104.02,1110.7,"Democrats under Clinton converged with Republicans on free trade, while Labour in the UK co-opted many aspects of Thatcherism under Blair."
SPEAKER_09,1110.7,1112.74,Why is this consensus harmful?
SPEAKER_09,1112.74,1116.58,"One, because a democracy without choice is not a democracy."
SPEAKER_09,1116.58,1122.22,"When there is no party that comes close to representing your interests, then democracy has failed you."
SPEAKER_09,1122.22,1129.94,"What right-wing populism does is to embrace and endorse viewpoints which are perfectly defensible, like the government having a foremost duty to its citizens."
SPEAKER_09,1129.94,1133.72,"So when they tell us it's white noise, we think it's a legitimate standpoint."
SPEAKER_09,1133.72,1140.5,"Two, because it disenfranchises the millions of workers in the Rust Belt whose livelihoods have been imperiled by free trade and immigration."
SPEAKER_09,1140.5,1147.68,They are neglected by a democratic party preoccupied with identity politics and a republican party that stands for an unbridled free market.
SPEAKER_09,1147.68,1149.1,These are problems that exist now.
SPEAKER_09,1149.1,1150.46,They have no solution.
SPEAKER_09,1150.46,1153.56,Those left behind by free trade are left voiceless.
SPEAKER_09,1153.56,1160.62,"What right-wing popular speech does is to signal that one, these communities have been disenfranchised, and two, that they are electorally determinate."
SPEAKER_09,1160.62,1163.86,Its absurgence demands the attention of the political establishment.
SPEAKER_09,1163.86,1171.5,It has catalyzed the rise in class-based left-leaning politics as Sanders rises in the Democratic Party and Corbyn brings Labour back to its socialist roots.
SPEAKER_09,1171.5,1179.98,"So even if we can agree that right-wing populism itself is a bad idea, it does result in a recalibration of the political spectrum that we think is good for representation."
SPEAKER_09,1179.98,1186.32,"Now, we acknowledge that right-wing populist speech may have unsavory elements, and this deals with their premise that this unsavoury speech is valued."
SPEAKER_09,1186.32,1187.8,"But before I move on, yes."
SPEAKER_05,1187.8,1191.26,Right-wing populists like Trump are known for fake news and lies.
SPEAKER_05,1191.26,1196.48,Why does that provide a valuable choice for voters if their votes are based on misinformation?
SPEAKER_09,1196.48,1204.04,"One, I think the fact that they believe in this fake news, or if they know it's fake news but still vote for it, is still a legitimate form of political expression that they may not care this much about these facts."
SPEAKER_09,1204.04,1207.58,My second argument will show you how you worsen everything you're talking about.
SPEAKER_09,1207.58,1212.3,We think that even unsavoury elements of speech has immense expressive value for two reasons.
SPEAKER_09,1212.3,1219.96,"One, because it is unreasonable and elitist to demand that the disenfranchised speak only in the language and vernacular which the elites find palatable."
SPEAKER_09,1219.96,1223.34,What they call in their policy political correctness.
SPEAKER_09,1223.34,1231.04,"And the immigration, expressed without extensive qualifications and hedging, that we are familiar with in our political discourse, does often sound quite racist."
SPEAKER_09,1231.04,1236.4,"But not everyone has access to the sanitized language of Team England, particularly for the worst of."
SPEAKER_09,1236.4,1239.46,"Two, because problematic language has a unique signal in effect."
SPEAKER_09,1239.46,1246.9,Saying we need to overhaul immigration quotas doesn't convey the same intensity as saying immigrants should get out of our nation.
SPEAKER_09,1246.9,1253.3,The left represents a fundamental disillusionment towards globalization and the belief that integration is hopeless.
SPEAKER_09,1253.3,1258.2,"Hence, right-wing populism is an indispensable part of speech and democracy that should be preserved."
SPEAKER_09,1258.2,1260.74,My second argument is on the risks of government abuse.
SPEAKER_09,1260.42,1266.42,My My thesis thesis is is that that propositions propositions policy policy is is a a vast vast expansion expansion of of the the state's state's regulatory regulatory power power over over free free speech.
SPEAKER_09,1266.52,1266.78,speech.
SPEAKER_09,1266.64,1270.6,"Given Given all all the the ambiguities ambiguities involved, involved, this this is is a a huge huge target target for abuse."
SPEAKER_09,1270.6,1272.78,Just listen to the five criteria they presented.
SPEAKER_09,1272.78,1273.78,What is nativism?
SPEAKER_09,1273.78,1275.66,What is an attack on the establishment?
SPEAKER_09,1275.66,1278.9,"If I critique the New York Times, is that considered under their policy?"
SPEAKER_09,1278.9,1282.16,This means that all their anti-truths and hate speech are incredibly fake.
SPEAKER_09,1282.16,1293.16,"And this is particularly true because fake news, as they want to talk about in the POI, heavily involves judgments of character, like claims that Bill Clinton is a womaniser, or causal judgments that the police shot a black man because of racism."
SPEAKER_09,1293.16,1296.44,The truth of these claims cannot be objectively proven.
SPEAKER_09,1296.44,1301.32,"Furthermore, whether something passes the threshold of hate speech is highly dependent on context and intent."
SPEAKER_09,1301.32,1304.44,They can't just throw this away with the mechanism in their policy.
SPEAKER_09,1304.44,1311.8,"For instance, Jeremy Corbyn has said that immigrants undermine labour standards, but presumably, he wouldn't be prosecuted under proposition."
SPEAKER_09,1311.8,1314.08,"Therefore, the content of such speech is subjective."
SPEAKER_09,1314.08,1316.78,"But beyond that, the prosecution is subjective as well."
SPEAKER_09,1316.78,1321.06,"In most of criminal law, governments don't prosecute every case because there are too many of them."
SPEAKER_09,1321.06,1322.94,This means they pick and choose.
SPEAKER_09,1322.94,1328.26,This is itself political because the legal process only begins once a case is brought to court.
SPEAKER_09,1328.26,1336.38,"However, prosecutors have very strong personal incentives to act in the interest of their partisan masters because they want to gain a promotion and curry favour."
SPEAKER_09,1336.38,1341.04,This means that often the kinds of speech that are curtailed are those that hurt the government's partisan interests.
SPEAKER_09,1341.04,1349.0,This means that they allow governments to artificially entrench power because the prosecution will only choose to attack those news and those forms of hate speech that disfavours them.
SPEAKER_09,1349.0,1358.94,It also means that on their side journalists are either forced to self-censor because they don't want to be dragged to court or they're forced to review confidential speech and confidential sources when they have to defend themselves in court.
SPEAKER_09,1358.94,1361.38,Therefore we believe that silence is oppression.
SPEAKER_09,1361.38,1370.36,We oppose.
SPEAKER_03,1370.36,1376.58,The first opposition speaker spent 8 minutes 14 seconds.
SPEAKER_03,1376.58,1380.44,I thank the first opposition speaker for their speech.
SPEAKER_03,1380.44,1387.96,"And now to continue the case for the proposition, please welcome Edward Bracey."
SPEAKER_07,1387.96,1405.94,"It is problematic for side opposition to stand up and simply deny the racist vitriol that is not only endemic when we look at actual examples of right-wing populists on the ground, the Front National in France, Trump in the United States, Duterte in the Philippines, Gert Wilders in the Netherlands, the list goes on."
SPEAKER_07,1405.94,1423.48,"But second of all, when we give you three mechanisms in our first speech as to why this kind of racist vitriol is not only endemic, and the result of the fact that you have a very wide but very shallow coalition, but second of all, is almost inevitably transferred to the minorities about whom it is made."
SPEAKER_07,1423.48,1425.72,That's not good enough from side opposition in this debate.
SPEAKER_07,1425.72,1434.4,I'm going to bring you an argument as to how right-wing populism constitutes a fundamental affront to democracy and the rights of everyone else in a democracy who does not vote for these people.
SPEAKER_07,1434.4,1436.58,"But before that, five pieces of rebuttal."
SPEAKER_07,1436.58,1439.26,The first thing they say is that minorities don't actually feel afraid.
SPEAKER_07,1439.26,1445.7,"And the only evidence they give for this in their first speech is, oh, you have some African-American women retweeting anti-Trump tweets."
SPEAKER_07,1445.7,1446.86,Two responses.
SPEAKER_07,1446.86,1457.94,"First, they do not engage with the three lines we bring you in our first speech as to how it is actually horrific to have someone who is in their political incentives to stand up and say that you are a less valuable human being than someone else."
SPEAKER_07,1457.94,1477.74,"But I challenge side opposition to tell the women who are raped by Duterte's army because he legitimizes that, or, for example, the women who face race-based abuse in the United States as a direct response of Trump's rights, the Mexicans who are beaten up after Trump rallies, that they shouldn't be afraid in any meaningful sense of the word."
SPEAKER_07,1477.74,1482.14,Second thing they bring us is that these are voicing concerns that would otherwise be avoided.
SPEAKER_07,1482.14,1483.56,Four responses here.
SPEAKER_07,1483.56,1496.22,"First, they concede in their very characterization generic of freedom of speech that, and when they stand up and say we support things like hate speech, that there are circumstances under which we are happy to tell people that they cannot vote for a particular individual."
SPEAKER_07,1496.22,1499.86,"That is, if we can prove to you that the harms to the wider society, i.e."
SPEAKER_07,1499.86,1503.6,the democratic norms of that society and specific minority groups are undermined.
SPEAKER_07,1503.64,1508.36,That is why they themselves do not believe that people should be able to vote for the neo-Nazi party.
SPEAKER_07,1508.36,1512.36,"And in doing so, they can see that democracy has to operate within a range."
SPEAKER_07,1512.36,1520.36,"Second of all, they give us no analysis to why specifically addressing the concerns of these people is unique to right-wing populists and rather just right-wing movements."
SPEAKER_07,1520.36,1534.66,"We were pointing to, for example, the Republican Party in the US, the Conservatives in the United Kingdom, groups that attack the very kinds of policies that they stand for on their side of the House, things like having tighter immigration controls, but do so without saying that Mexicans are rapists."
SPEAKER_07,1534.66,1541.34,"Third, this falls down because they fundamentally have to prove to you that the benefits accrued to these people are actually achieved."
SPEAKER_07,1541.34,1555.4,"We gave you structural analysis in our first speech that has not been responded to as to how the shallowness of your coalition necessarily means you do not help the people in the Rust Belt, you do not help the people who fundamentally give you their democratic mandate."
SPEAKER_07,1555.4,1556.18,Third point of rebuttal.
SPEAKER_07,1556.18,1558.18,They say these are legitimate policies.
SPEAKER_07,1558.18,1559.16,"Again, two responses."
SPEAKER_07,1559.36,1572.76,"First, we would challenge the factual legitimacy of lots of the policies that individuals like Duterte or have Trump passed, because the vast majority of them are not restricting trade or placing limits on the power of big businesses or giving more welfare to the working man."
SPEAKER_07,1572.76,1581.58,They are instead avoided because they recognise there is inherent conflict between supporting Obamacare for those that want it and also not supporting Obamacare for those in your mandate who do not want it.
SPEAKER_07,1581.58,1591.52,"The kinds of policies you actually get passed are the ban on trans individuals in the army, the ban on Muslims from particular countries, because those are the that ones is easiest to unite your base behind."
SPEAKER_07,1591.52,1596.14,"Second of all, again, this is predicated on these policies actually being fulfilled and people actually wanting that."
SPEAKER_07,1596.14,1607.34,"We point to the example of fact the that only 28% of United States citizens now support Donald Trump as evidence of the fact that no matter what he says about these policies, he's probably not implementing them."
SPEAKER_07,1607.34,1613.66,"Fourth and finally of all, they throw out this really generic argument about how this policy could possibly be abused because of the vague criteria we implement."
SPEAKER_07,1613.66,1617.52,We tell you that the courts make exactly this kind of calculation the whole time.
SPEAKER_07,1617.52,1619.02,And you know how we know that's effective?
SPEAKER_07,1619.02,1626.42,"Because they stand by exactly the same mechanism when they talk about things like slander, when they talk about things like hate speech, when they talk about things like incitement of violence."
SPEAKER_07,1626.42,1636.52,"If you can disseminate specific criteria and attach them to those instances of racial abuse, presumably we can also attach them to the five criteria we brought you in our first speech."
SPEAKER_07,1636.52,1641.78,"Before I move on to my argument about how right-wing populism is fundamentally a front to everyone's rights, yes."
SPEAKER_08,1641.78,1648.48,"Would you also prosecute every single person who calls those in the Rust Belt a immoral, horrible neo-Nazi?"
SPEAKER_07,1648.48,1650.7,"Come on, this obviously operates on a scale, right?"
SPEAKER_07,1650.7,1658.28,"So on the short, on the smaller end of things, if an individual person is racist and inciting other people to go and physically harm someone else, then possibly."
SPEAKER_07,1658.28,1667.64,"If that person does so with 100,000 Twitter followers and the direct response of that policy is that hate crime increases 41% in the week after they are elected?"
SPEAKER_07,1667.64,1668.34,Yes.
